name,symbol,current_price_usd,market_cap,total_volume,price_change_24h,timestamputc
Bitcoin,btc,82828.0,1656047236072,55188271633,0.61483,2026-01-31_10-19-56
Ethereum,eth,2638.32,318565217000,32595946512,-2.90045,2026-01-31_10-19-56
Tether,usdt,0.998446,185558362249,96988216235,0.00919,2026-01-31_10-19-56
BNB,bnb,835.85,114035306561,1724233390,-0.0302,2026-01-31_10-19-56
XRP,xrp,1.69,103107963016,4051622724,-2.52739,2026-01-31_10-19-56
Bitcoin,btc,82889.0,1657168685408,54601179412,0.1989,2026-01-31_11-16-33
Ethereum,eth,2639.47,318879735398,32309145686,-3.42855,2026-01-31_11-16-33
Tether,usdt,0.998423,185560695622,96304859570,0.00041,2026-01-31_11-16-33
BNB,bnb,834.88,114000347635,1717249851,-0.39331,2026-01-31_11-16-33
XRP,xrp,1.7,103550868601,4052916466,-2.83036,2026-01-31_11-16-33
Bitcoin,btc,82792.0,1655124976687,53526868009,0.1119,2026-01-31_12-37-29
Ethereum,eth,2633.9,317988528613,31829868851,-3.84109,2026-01-31_12-37-29
Tether,usdt,0.998451,185562002784,94656512031,0.0151,2026-01-31_12-37-29
BNB,bnb,833.92,113712998295,1672825728,-0.42204,2026-01-31_12-37-29
XRP,xrp,1.69,102909799209,4066512470,-4.00958,2026-01-31_12-37-29
Bitcoin,btc,82488.0,1651633860955,53517307888,-0.19869,2026-01-31_13-38-09
Ethereum,eth,2619.96,316956876249,32874620095,-4.28893,2026-01-31_13-38-09
Tether,usdt,0.998394,185558154192,93900414075,0.00213,2026-01-31_13-38-09
BNB,bnb,829.45,113215898804,1602180441,-2.0375,2026-01-31_13-38-09
XRP,xrp,1.68,102530911538,4072808373,-4.11257,2026-01-31_13-38-09
Bitcoin,btc,82198.0,1642621910399,53285980306,-0.76547,2026-01-31_14-20-20
Ethereum,eth,2599.3,313742950904,33309977897,-4.87507,2026-01-31_14-20-20
Tether,usdt,0.998455,185086730706,93963629958,0.00364,2026-01-31_14-20-20
BNB,bnb,823.61,112674414985,1535502728,-2.84793,2026-01-31_14-20-20
